Level1 ID	Level1 Hypothesis	Level0 Hypothesis
1	Be creative	allowing for more creativity or imagination
1	Be creative	being more creative
1	Be creative	fostering creativity
1	Be creative	being innovative
1	Be creative	promoting imagination
2	Be curious	being the more interesting option
2	Be curious	fostering curiosity
2	Be curious	making people more keen to learn
2	Be curious	promoting discoveries
2	Be curious	sparking interest
3	Have freedom of thought	allowing people to figure things out on their own
3	Have freedom of thought	allowing people to make up their mind
3	Have freedom of thought	resulting in less censorship
3	Have freedom of thought	resulting in less influence on people's thoughts
4	Be choosing own goals	allowing people to choose what is best for them
4	Be choosing own goals	allowing people to decide on their life
4	Be choosing own goals	allowing people to follow their dreams
5	Be independent	allowing people to plan on their own
5	Be independent	resulting in fewer times people have to ask for consent
6	Have freedom of action	allowing people to be self-determined
6	Have freedom of action	allowing people to do things even though this may hurt them in the long run
6	Have freedom of action	resulting in more times people can do what they want
7	Have privacy	allowing for private spaces
7	Have privacy	allowing for time alone
7	Have privacy	resulting in less surveillance
7	Have privacy	resulting in more control on what to disclose and to whom
8	Have an exciting life	allowing people to experience foreign places
8	Have an exciting life	providing perspective-changing experiences
8	Have an exciting life	providing special activities
9	Have a varied life	allowing people to change parts of their life
9	Have a varied life	allowing people to move flat easily
9	Have a varied life	promoting local clubs (sports, ...)
9	Have a varied life	providing many activities
10	Be daring	allowing for risky actions
10	Be daring	allowing to take risks
10	Be daring	being more risky
10	Be daring	fostering risk-taking
11	Have pleasure	making life enjoyable
11	Have pleasure	providing leisure
11	Have pleasure	providing opportunities to have fun
11	Have pleasure	providing sensuous gratification
12	Be ambitious	allowing for ambitions
12	Be ambitious	being more ambitious
12	Be ambitious	fostering ambition
12	Be ambitious	providing incentives for the difficult climb up the social ladder
13	Have success	allowing for success
13	Have success	being more successful
13	Have success	recognizing achievements
14	Be capable	allowing to acquire competence in certain tasks
14	Be capable	being more effective
14	Be capable	resulting in a higher effectivity
14	Be capable	showing competence in solving tasks
15	Be intellectual	allowing to acquire high cognitive skills
15	Be intellectual	being more reflective
15	Be intellectual	resulting in more reflective behavior
15	Be intellectual	showing intelligence
16	Be courageous	being more courageous
16	Be courageous	fostering courage
16	Be courageous	making people stand up for their beliefs
16	Be courageous	promoting courage
16	Be courageous	showing courage
17	Have influence	having more people to ask for a favor
17	Have influence	resulting in more influence
17	Have influence	resulting in more obligations towards the own side
17	Have influence	resulting in more ways to control events
18	Have the right to command	allowing experts to tell others what to do
18	Have the right to command	allowing people to take command
18	Have the right to command	fostering leadership
18	Have the right to command	resulting in clearer hierarchies of command
19	Have wealth	allowing people to gain wealth
19	Have wealth	allowing to show one's wealth
19	Have wealth	allowing to use money for power
19	Have wealth	providing people with resources to control events
19	Have wealth	resulting in financial prosperity
20	Have social recognition	allowing people to gain respect
20	Have social recognition	avoiding humiliation
20	Have social recognition	providing social recognition for actions
21	Have a good reputation	allowing people to build up their reputation
21	Have a good reputation	protecting one's public image
21	Have a good reputation	spreading reputation
22	Have a sense of belonging	allowing people to establish groups
22	Have a sense of belonging	allowing people to join groups and show their group membership
22	Have a sense of belonging	allowing group members to show they care for each other
22	Have a sense of belonging	fostering a sense of belonging
22	Have a sense of belonging	resulting in fewer people forced to leave their groups
23	Have good health	avoiding diseases
23	Have good health	preserving health
23	Have good health	being alive
23	Have good health	having physiological and mental well-being
23	Have good health	fostering activities to stay healthy
23	Have good health	resulting in increased health
24	Have no debts	avoiding indebtedness
24	Have no debts	having people always return a favor
24	Have no debts	reciprocating favors
25	Be neat and tidy	allowing to clean up
25	Be neat and tidy	being more clean or orderly
25	Be neat and tidy	promoting cleanliness or neatness
25	Be neat and tidy	resulting in higher cleanliness
26	Have a comfortable life	providing subsistence income
26	Have a comfortable life	resulting in having no financial worries
26	Have a comfortable life	resulting in a higher general happiness
26	Have a comfortable life	resulting in a prosperous life
27	Have a safe country	caring for citizens
27	Have a safe country	resulting in a state that can better act on crimes
27	Have a safe country	resulting in a state that can better defend its citizens
27	Have a safe country	resulting in a state that takes better care of its citizens
27	Have a safe country	resulting in a stronger state
28	Have a stable society	accepting or maintaining the existing social structure
28	Have a stable society	preventing chaos and disorder
28	Have a stable society	promoting the social order
28	Have a stable society	resulting in a country that is more stable
29	Be respecting traditions	allowing to follow one's family's customs
29	Be respecting traditions	honoring traditional practices
29	Be respecting traditions	maintaining traditional values and ways of thinking
29	Be respecting traditions	promoting the preservation of customs
30	Be holding religious faith	allowing to devote one's life to their faith
30	Be holding religious faith	allowing the customs of a religion
30	Be holding religious faith	being more adequate for a certain religion
30	Be holding religious faith	promoting piety
30	Be holding religious faith	spreading a religion
31	Be compliant	abiding to laws or rules
31	Be compliant	promoting to meet one's obligations
31	Be compliant	recognizing people who abide to laws or rules
32	Be self-disciplined	fostering to exercise restraint
32	Be self-disciplined	fostering to follow rules even when no-one is watching
32	Be self-disciplined	fostering to set rules for oneself
33	Be behaving properly	avoiding to violate informal rules or social conventions
33	Be behaving properly	fostering good manners
33	Be behaving properly	resulting in more people minding their manners
34	Be polite	avoiding to upset other people
34	Be polite	promoting to take others into account
34	Be polite	resulting in being less annoying for others
35	Be honoring elders	fostering that children follow their parents
35	Be honoring elders	showing faith and respect towards one's elders
36	Be humble	demoting arrogance
36	Be humble	demoting to think one deserves more than other people
36	Be humble	emphasizing the successful group over single persons
36	Be humble	fostering to give back to society for the opportunities one got
36	Be humble	fostering to not brag about what one achieved
37	Have life accepted as is	allowing people to accept their fate
37	Have life accepted as is	fostering to submit to life's circumstances
37	Have life accepted as is	promoting satisfaction with what one has
37	Have life accepted as is	showing acceptance of one's own portion in life
38	Be helpful	allowing to help the people in one's group
38	Be helpful	being more helpful to those one cares for
38	Be helpful	fostering a readiness to help each other
38	Be helpful	promoting to work for the welfare of others in one group
39	Be honest	being more honest
39	Be honest	fostering honest ways of thinking
39	Be honest	promoting honesty
39	Be honest	recognizing people for their honesty
39	Be honest	resulting in more honest social interaction
40	Be forgiving	allowing people to forgive each other
40	Be forgiving	giving people a second chance
40	Be forgiving	being merciful
40	Be forgiving	promoting a will to pardon others
40	Be forgiving	providing paths to redemption
41	Have the own family secured	allowing people to protect their family
41	Have the own family secured	promoting to have a family
41	Have the own family secured	providing care for one's family
42	Be loving	allowing to place the well-being of others above the own well-being
42	Be loving	allowing to show one's affection, compassion and sympathy
42	Be loving	fostering close relationships
42	Be loving	promoting self-respect and self-love as a means of care for oneself
42	Be loving	promoting to concern oneself with the needs of dear ones
43	Be responsible	allowing for clear responsibilities
43	Be responsible	fostering dependability
43	Be responsible	promoting reliability
43	Be responsible	resulting in more people being confident
43	Be responsible	taking responsibility
44	Have loyalty towards friends	being a dependable and trustworthy friend
44	Have loyalty towards friends	foster loyalty towards friends
44	Have loyalty towards friends	promoting to give friends a full backing
45	Have equality	fostering people of a lower social status
45	Have equality	helping poorer regions of the world
45	Have equality	providing all people with equal opportunities in life
45	Have equality	resulting in a world were success is less determined by birth
46	Be just	allowing justice to be 'blind' to irrelevant aspects of a case
46	Be just	fostering a sense for justice
46	Be just	promoting fairness in competitions
46	Be just	protecting the weak and vulnerable in society
46	Be just	resulting a world were people are less discriminated based on race, gender, ...
47	Have a world at peace	allowing for nations to cease fire
47	Have a world at peace	avoiding conflicts
47	Have a world at peace	fostering to see peace as fragile and precious
47	Have a world at peace	promoting to end wars
47	Have a world at peace	resulting in more people caring for all of humanity
48	Be protecting the environment	avoiding pollution
48	Be protecting the environment	fostering to care for nature
48	Be protecting the environment	promoting programs to restore nature
48	Be protecting the environment	resulting in less damage to the ecosystem
49	Have harmony with nature	allowing to avoid chemicals (especially in nutrition)
49	Have harmony with nature	allowing to avoid genetically modified organisms
49	Have harmony with nature	fostering to treat animals or plants like them having souls
49	Have harmony with nature	promoting a life in harmony with nature
49	Have harmony with nature	resulting in more people reflecting the consequences of their actions towards the environment
50	Have a world of beauty	allowing people to experience art
50	Have a world of beauty	fostering to stand in awe of nature
50	Have a world of beauty	promoting fine arts
50	Have a world of beauty	promoting the beauty of nature
50	Have a world of beauty	spreading beauty
51	Be broadminded	allowing for discussion between groups
51	Be broadminded	clearing up with prejudices
51	Be broadminded	fostering to listen to and understand people who are different from oneself
51	Be broadminded	promoting tolerance towards all kinds of people and groups
51	Be broadminded	promoting to life within a different group for some time
52	Have the wisdom to accept others	allowing people to accept disagreements
52	Have the wisdom to accept others	fostering to accept people even when one disagrees with them
52	Have the wisdom to accept others	promoting a mature understanding of different opinions
52	Have the wisdom to accept others	resulting in fewer partisans or fanatics
53	Be logical	being better by the numbers but not by gut feeling
53	Be logical	fostering a rational way of thinking
53	Be logical	promoting focus and consistency
53	Be logical	promoting the rational analysis of circumstances
53	Be logical	promoting the scientific method
54	Have an objective view	fostering to seek the truth
54	Have an objective view	fostering to take on a neutral perspective
54	Have an objective view	promoting to form an unbiased opinion
54	Have an objective view	providing people with the means to make informed decisions
54	Have an objective view	weighing all pros and cons